Class,FPR,TPR
0,0.0,0.0
0,0.00814135809914365,0.42984202015176015
0,0.023368713062356772,0.6638263465605174
0,0.04682788565914847,0.8091180495086453
0,0.08274032082981546,0.9011692996641373
0,0.1534646001688578,0.9621221544968279
0,1.0,1.0
1,0.0,0.0
1,0.0015669323247332163,0.021131805157593123
1,0.009469134134810212,0.10589780324737345
1,0.03566121842496285,0.2791308500477555
1,0.09806835066864784,0.5388013371537727
1,0.23425638254761583,0.8187679083094556
1,1.0,1.0
2,0.0,0.0
2,0.0012813667912439936,0.022976222281592306
2,0.007781633742658836,0.0993855196366551
2,0.03121996796583022,0.252070531659097
2,0.09249866524292578,0.5125567726422655
2,0.2351308061932728,0.7950841570932408
2,1.0,1.0
3,0.0,0.0
3,0.014062767964328588,0.19501779359430604
3,0.051262063266865186,0.439255406515193
3,0.1163062627648462,0.6741308513550507
3,0.2187212547356605,0.8486175745962223
3,0.3745030479724357,0.950451683547769
3,1.0,1.0
4,0.0,0.0
4,0.005019420376456528,0.5348591658644142
4,0.01587491285728513,0.7003819757150399
4,0.03776516283238721,0.8147262507375548
4,0.07927497261228961,0.896711282258315
4,0.16829001095508417,0.9599080773889009
4,1.0,1.0
