Class,FPR,TPR
0,0.0,0.0
0,0.007628754070679049,0.4205746983455654
0,0.019735255095887107,0.6261972882199278
0,0.03701302617295863,0.7557532031347183
0,0.06427149921601737,0.8550192810051002
0,0.12126100591002292,0.9310859559646723
0,1.0,1.0
1,0.0,0.0
1,0.010131027961637173,0.09097421203438395
1,0.026084019991895177,0.19734957020057306
1,0.055626097528029175,0.3428844317096466
1,0.11017155207348373,0.5460840496657116
1,0.21290017560448468,0.7761461318051576
1,1.0,1.0
2,0.0,0.0
2,0.01130539241857982,0.1004541811381245
2,0.03087293112653497,0.22321667111942292
2,0.06564335290977043,0.38017632914774246
2,0.12010144153764014,0.566791343841838
2,0.21298718633208755,0.7568795084157093
2,1.0,1.0
3,0.0,0.0
3,0.007810916574421976,0.15598138516287982
3,0.0294975132910307,0.3474952094169176
3,0.07046974634009448,0.55630988228853
3,0.14547637236712868,0.7505611825896523
3,0.28671208743237553,0.9003011223651793
3,1.0,1.0
4,0.0,0.0
4,0.010477044119111642,0.6530853079096922
4,0.03061448062941938,0.8024284960094407
4,0.06330046808086844,0.8885748889786032
4,0.11194104172891146,0.941492500232912
4,0.20177273179962155,0.9792553026303531
4,1.0,1.0
