Class,FPR,TPR
0,0.0,0.0
0,0.006724158726329755,0.3971887050628188
0,0.01405138101555904,0.5465853961935564
0,0.028389217223495355,0.6943649707675084
0,0.052195151368954286,0.8235477049384252
0,0.11147629960197805,0.9238711282497823
0,1.0,1.0
1,0.0,0.0
1,0.009847359178711334,0.10673352435530085
1,0.03171687153856545,0.2582378223495702
1,0.07237606375793597,0.43278414517669533
1,0.1381602053221667,0.6386103151862464
1,0.21731730379575848,0.7848615090735435
1,1.0,1.0
2,0.0,0.0
2,0.00998398291510945,0.10940422121293081
2,0.03302189001601708,0.2555436815388726
2,0.07781633742658836,0.44255944429601923
2,0.14087026161238655,0.6286401282393802
2,0.21861986118526427,0.7627571466737911
2,1.0,1.0
3,0.0,0.0
3,0.007265243759841599,0.14859019983575145
3,0.026098751188787205,0.3208321927183137
3,0.06320450258025288,0.523460169723515
3,0.1349059104161145,0.7284971256501506
3,0.2743019285636332,0.8948809197919518
3,1.0,1.0
4,0.0,0.0
4,0.010437207449457225,0.6524642091860501
4,0.030016930584603127,0.8003788702214217
4,0.061408226272283636,0.8864631533182199
4,0.1089732098396574,0.9397844787428962
4,0.19478139627527138,0.9781373249277973
4,1.0,1.0
