Class,FPR,TPR
0,0.0,0.0
0,0.008126281510071161,0.421569846995895
0,0.015966107827765048,0.568727453663391
0,0.030635628995296104,0.7013932081104615
0,0.053491738029188274,0.820126881452917
0,0.10630502955011459,0.91796243313845
0,1.0,1.0
1,0.0,0.0
1,0.011697960286370391,0.12344794651384909
1,0.03466162366608132,0.2605062082139446
1,0.07401053626908011,0.42251671442215855
1,0.13283803863298663,0.6116284622731614
1,0.2113872754288802,0.7682664756446992
1,1.0,1.0
2,0.0,0.0
2,0.012413240790176187,0.13718942025113545
2,0.036812600106780564,0.275581084691424
2,0.07661505605979711,0.4400213732300294
2,0.13609183128670582,0.6078012289607266
2,0.21554991991457556,0.7588832487309645
2,1.0,1.0
3,0.0,0.0
3,0.008839899596202117,0.16589104845332603
3,0.0282190798397281,0.33462907199562003
3,0.06449852668340063,0.5224746783465645
3,0.12990131117382017,0.7160142348754448
3,0.258851592585086,0.8807555433889953
3,1.0,1.0
4,0.0,0.0
4,0.013106264316303157,0.6786745753237478
4,0.033522557514191816,0.8111238781404304
4,0.06357932476844935,0.8871774168504084
4,0.10632407130763868,0.9374864134654203
4,0.1849218205358032,0.9744728424583088
4,1.0,1.0
