Class,FPR,TPR
0,0.0,0.0
0,0.0071764563985044025,0.4074511755193432
0,0.01566457604631528,0.5700335862669487
0,0.02938427210227958,0.7043786540614504
0,0.05343143167289832,0.8254758054484389
0,0.11161198890363044,0.9234357507152631
0,1.0,1.0
1,0.0,0.0
1,0.010698365527488856,0.11138968481375358
1,0.03387815750371471,0.2686246418338109
1,0.07406456841820884,0.43170964660936006
1,0.12990679454275295,0.6105539637058262
1,0.21362960961772254,0.7787726838586437
1,1.0,1.0
2,0.0,0.0
2,0.01185264281900694,0.12543414373497194
2,0.035945008008542445,0.2727758482500668
2,0.07353176721836625,0.43414373497194764
2,0.1278964228510411,0.5976489446967673
2,0.2105979711692472,0.7587496660432808
2,1.0,1.0
3,0.0,0.0
3,0.007530284841209211,0.15143717492471942
3,0.027720178980683182,0.3292088694223926
3,0.06540278449041954,0.533917328223378
3,0.13579457757128827,0.7312346016972352
3,0.27540886484463917,0.894661921708185
3,1.0,1.0
4,0.0,0.0
4,0.01049696245393885,0.6531784727182386
4,0.030554725624937756,0.8022732213285302
4,0.06240414301364406,0.8881401198720537
4,0.11104471666168708,0.9409335113816341
4,0.19651429140523852,0.9786652588428931
4,1.0,1.0
