Class,FPR,TPR
0,0.0,0.0
0,0.007221686165721867,0.4011071028734917
0,0.01516704860692317,0.5613260355765642
0,0.030379326981063805,0.7026371439233735
0,0.054697865154987334,0.8260977733548949
0,0.11200398021951513,0.9239333250404279
0,1.0,1.0
1,0.0,0.0
1,0.01057679319194921,0.11568767908309456
1,0.03272997433472916,0.2531041069723018
1,0.07221396731054977,0.42036771728748806
1,0.13209509658246657,0.6152101241642789
1,0.21561529109820343,0.7791308500477555
1,1.0,1.0
2,0.0,0.0
2,0.011025093432995195,0.12717071867485974
2,0.03380939668980246,0.26422655623831154
2,0.07281099839829151,0.4316056639059578
2,0.13100640683395623,0.6059310713331553
2,0.21404164442071544,0.7607534063585359
2,1.0,1.0
3,0.0,0.0
3,0.007436740930138289,0.15143717492471942
3,0.027096552906877038,0.3295373665480427
3,0.06529364992750347,0.5320558445113606
3,0.13680796994122324,0.7333698330139611
3,0.27639107591088385,0.896085409252669
3,1.0,1.0
4,0.0,0.0
4,0.010536799123593267,0.6527437036116891
4,0.030455133950801714,0.8013105183068849
4,0.06230455133950802,0.8870221421694978
4,0.11026790160342595,0.9399708083599888
4,0.19669355641868339,0.9783857644172541
4,1.0,1.0
