fpr,tpr
0.0,0.0009801399654705161
1.3347570742124934e-05,0.028793118424820446
1.3508037282182899e-05,0.029531484851435464
1.5590651845153644e-05,0.034579761678117646
1.9918334827208444e-05,0.04362157749961294
3.015317814497648e-05,0.04811841727304525
3.118130369030729e-05,0.048864070676097174
4.00427122263748e-05,0.05530618568528477
4.05241118465487e-05,0.0556464903402625
4.522976721746472e-05,0.0663412844711495
6.236260738061458e-05,0.07443091338478316
6.673785371062466e-05,0.07647096510503468
6.754018641091449e-05,0.07704090962481372
7.53829453624412e-05,0.08077951568879613
8.10482236930974e-05,0.08261257788316219
9.343299519487453e-05,0.08661980490728269
9.959167413604223e-05,0.08861456675416786
0.00010806429825746319,0.09127227851938455
0.00012157233553964608,0.09546175450329546
0.00013347570742124932,0.09944092507390881
0.0001403158666063828,0.10161610768520035
0.00014858841010401187,0.1043304567473046
0.0001507658907248824,0.10508148783837452
0.00015934667861766756,0.10794502309425211
0.0001601708489054992,0.10812492989570932
0.0001620964473861948,0.10853306044740733
0.0001714971702966901,0.11022310728161192
0.00018708782214184376,0.11357346478629667
0.000200213561131874,0.11609912566449006
0.00021826912583215103,0.11962639136703115
0.00022963663379710927,0.12165349612724885
0.00024122542515981184,0.12385731165848113
0.00025665270836147506,0.12698413699998365
0.00026695141484249865,0.129257329281024
0.0002788566875809182,0.13169534402369773
0.0002806317332127656,0.13197898251915416
0.00029364655632674856,0.13404265369125973
0.0003015317814497648,0.13531663435296007
0.0003203416978109984,0.13769497527296645
0.0003377009320545725,0.13975090560099726
0.0003741756442836875,0.14394642081340914
0.00038707955152162305,0.14556361935094286
0.0004070679049571825,0.14815870477480791
0.0004209475998191484,0.15025926931972028
0.00043225719302985275,0.15190362050220854
0.0004404698344901228,0.1530918163111629
0.00046737426124713547,0.15682468611628264
0.0004979583706802111,0.16031286996700916
0.0004989008590449166,0.16040949391371565
0.0005133054167229501,0.1619853950525038
0.0005456728145803776,0.16555509137290988
0.0005729103847545531,0.16858294794817835
0.0005943536404160475,0.17052133943302278
0.0006080354219609922,0.17170572164131226
0.0006273358248798719,0.1733839429961869
0.0006859886811867604,0.178614781658982
0.0006940736785904965,0.1792524956072457
0.0007236762754794355,0.1815806645073879
0.0007834661623666081,0.18613992614773794
0.000787506673785371,0.18648445992580548
0.0008107138959479895,0.18842103196062615
0.0008166517279155463,0.18888924483022018
0.0008510063487775227,0.1915257488197295
0.0008744421662043179,0.1931719793090359
0.0008942872397223705,0.194384846456032
0.0009978017180898332,0.20050611623312792
0.0010266108334459003,0.20224150421060086
0.0010678056593699946,0.20468488609765217
0.0011154267503236729,0.20754425589813108
0.0011156675913641298,0.20755844771715282
0.0012004801920768306,0.21224971542753965
0.001227976508275494,0.21366742038674022
0.0012292313926786438,0.21373343496973454
0.0013719696055964298,0.22136218579508044
0.0013747997864388681,0.22151269506747387
0.0013942834379045911,0.22253820144511724
0.0014453599891935702,0.22511394938495136
0.0015278838808250573,0.22935631272068863
0.0015616657768286171,0.23115889079316032
0.0016344725111441308,0.2349162927255682
0.0016584247979737063,0.2361455647048724
0.0016731401254855094,0.23692912515717354
0.0017752269087026162,0.24216948774983466
0.0017929249621926693,0.24312668048684744
0.0018370930703768742,0.24544554727053472
0.0018694970449885419,0.24721522777489086
0.0019087026161238654,0.24930229756329764
0.0019519968130664277,0.2514691566286559
0.002012697555045252,0.25422528149065604
0.002095645881075865,0.25774060600030363
0.0021203286509408957,0.2586990838073181
0.002202349172450614,0.26193977893621395
0.00228285830068891,0.26523900218785285
0.0023304451747833883,0.2671991457295942
0.0023892151628403632,0.26935716476831195
0.00239717766252563,0.2696552377932203
0.002432141687843969,0.27092687453780495
0.0025935431581791167,0.2768291417968213
0.002602776294714362,0.2771717543464606
0.002713786033047883,0.28110742090617163
0.002806317332127656,0.2845372343661857
0.002904228015669323,0.28801488022999333
0.0029097704217832354,0.28821894112101487
0.0029279952195996415,0.28887665115757055
0.0029700880472801833,0.290414541589556
0.003190069407367859,0.2977436611485085
0.003201404835877347,0.2981329058586857
0.003258446235637112,0.299921199899372
0.0033017730068749247,0.3012842886144592
0.0034259535902798526,0.30486794109931575
0.0035237586759209825,0.3077338984363228
0.0036336620289071997,0.311048960836556
0.003694984487301414,0.31289162125149333
0.00376914726812206,0.3150195646826031
0.0038974906567004804,0.3189849755932476
0.0039039936261328553,0.31918915118238367
0.004085755638644313,0.32489294872279745
0.004160475482912333,0.3272058084743279
0.004287429257417253,0.3309302310281029
0.004297917778964228,0.3312341740131449
0.004322278657504233,0.33188717859340916
0.0044174405982390546,0.3341875216146665
0.0047650827549386016,0.34133574442511877
0.004781845197892746,0.34167154675804035
0.004939747037147694,0.34519050085500286
0.004942236634913706,0.3452437140219991
0.005005427572066096,0.3466167719459432
0.005281642577333513,0.35272203472850594
0.005298985584623599,0.3530896297673866
0.005518031600530696,0.35783242279690924
0.0055658627087198514,0.3589289014379494
0.005616970421272781,0.3600329852809147
0.005846235985050721,0.36492344818604205
0.005848980143185196,0.36498620776630536
0.005955252683632855,0.3673752955243784
0.006300053390282968,0.3749486985766904
