fpr,tpr
0.0,0.007724881655433592
1.3347570742124934e-05,0.025242450962967546
1.3508037282182899e-05,0.025692148514258568
1.5590651845153644e-05,0.029126686859026467
2.6695141484249868e-05,0.043960368088018786
2.7016074564365797e-05,0.04483954455131667
3.015317814497648e-05,0.04903204938283665
3.118130369030729e-05,0.05083594319635868
3.983666965441689e-05,0.06176762334071274
4.05241118465487e-05,0.062055565076921934
4.677195553546094e-05,0.06458970323240847
5.3390282968499735e-05,0.06709515074084815
6.673785371062466e-05,0.07265564851079462
6.754018641091449e-05,0.07296098716295683
7.53829453624412e-05,0.07598031456496394
7.795325922576823e-05,0.07717943794274093
0.00010553612350741769,0.08968922532742384
0.00010678056593699947,0.09003458070269109
0.00010806429825746319,0.09039340925869901
0.0001394283437904591,0.09897547565692863
0.0001403158666063828,0.09991770290086503
0.00014858841010401187,0.1016885680816342
0.00015590651845153646,0.10324391054023016
0.0001601708489054992,0.10398899233646786
0.0001959956579423471,0.1103918681063067
0.000200213561131874,0.1110542254923789
0.00021612859651492638,0.11347380018861963
0.00022963663379710927,0.11600976763682462
0.0002494504295224583,0.11915516589845732
0.0002536038441003737,0.11987042278322986
0.00026695141484249865,0.12260982232707844
0.0002802989855846236,0.12526907225831682
0.00029622238505791926,0.12811215978764706
0.00029717682020802375,0.12828201344581736
0.00029877502240812666,0.12856332589007763
0.00031660837052225303,0.1309377014870349
0.0003203416978109984,0.1313560901963302
0.0003512089693367554,0.13462998959224132
0.00035858499243853387,0.1354220972382707
0.000400427122263748,0.13950114278288045
0.00040524111846548696,0.1399608070314123
0.00043653825166430207,0.14303219711572132
0.00045927326759421854,0.14512049327263338
0.0004975274393921119,0.1487864285309041
0.0004997973794407673,0.14901582069358685
0.0005205552589428724,0.15090153462293862
0.0005739455419113721,0.15602775411465433
0.0005872931126534971,0.15786367714147048
0.0006080354219609922,0.1601977535306293
0.000613988254137747,0.16089736472677343
0.0006174683796434618,0.16123032552281577
0.0006213697149804134,0.16156116649019975
0.0006332167410445061,0.16263969518269747
0.000675401864109145,0.16614368327098858
0.0007171699848770677,0.16945218544482912
0.0007699581250844252,0.173220804785481
0.0007741591030432461,0.17350962038267206
0.0007839826317693884,0.1742619968044608
0.0008275493860117459,0.17727822247620773
0.0009076348104644955,0.18271585275155494
0.0009455626097528029,0.18520882702839442
0.0009649017006392474,0.18644316054313248
0.000966620414399526,0.1865413961217918
0.0010144153764014949,0.189345777772241
0.001035753411014839,0.1904910167395826
0.0011616912062677293,0.1985990441718133
0.0011910505367265709,0.2005451230589233
0.0012004801920768306,0.20115771805429494
0.001254855094114132,0.20474602099340872
0.0012813667912439936,0.20626931077690996
0.001337295690936107,0.2097194489662079
0.0014171993728138946,0.2145795180237596
0.0014281900694073678,0.2152946136763964
0.001449930621599289,0.21670636577248495
0.0015337117816950504,0.22290073025522156
0.0015616657768286171,0.22473822214359637
0.0015669323247332163,0.22508043326695715
0.0015746558363605183,0.22558023568879854
0.0016131950307562417,0.22782428540533567
0.0017351841964762414,0.23380316665512027
0.0017830609212481426,0.23601048810820419
0.0017929249621926693,0.23653391820251368
0.0018911252195056058,0.2418915181705213
0.0018996502231335183,0.24228846339920315
0.0019121601434120108,0.24288182109320786
0.001962092899092365,0.24517888533764962
0.0019956034361796665,0.24678952331198642
0.002186105415510795,0.2550018108356763
0.0022290443139348637,0.25655008081439246
0.002255842226124544,0.25752739021656545
0.002290608505128971,0.25880440733528476
0.0023230071249278933,0.25993713772236904
0.002455953016550988,0.2651588089132983
0.002541276250760044,0.2684179319607088
0.0026685562658304183,0.27250146653397894
0.002674591381872214,0.2727261765150844
0.00268897520167314,0.27326091982759815
0.0026962092899092366,0.27350964799558364
0.002989855846235985,0.2835080765097895
0.0030557677616501145,0.2857523240935046
0.003093340537619884,0.28702764852512264
0.0031811602942950186,0.29028947840068964
0.003186933572353351,0.29047115693003617
0.0032968499733048587,0.2937972638653593
0.003336485208699176,0.29499183117992017
0.0035858499243853386,0.30227479886012043
0.003606645954342834,0.30290855426823704
0.0036183813773971777,0.303239712910405
0.0037373198077949813,0.3072592502070294
0.0037446469475151878,0.3074985942817724
0.0038596068025569894,0.3111552264137513
0.004069160131585102,0.3168524511518161
0.004119951371065784,0.3181437626120739
0.004236521529369195,0.32124299496916764
0.004271222637479978,0.32212550428380987
0.004302360322677024,0.32297860191087635
0.004633256787788734,0.3319080222761152
0.004644954618259476,0.33221690087282674
0.004658666023398866,0.3325707601470464
0.004755148812771862,0.33495547002309917
0.004860073697838861,0.33746591622599403
0.00507902201810077,0.3428928886419653
