fpr,tpr
0.0,0.0
1.3347570742124934e-05,0.001769197337108498
1.3508037282182899e-05,0.001861618350865131
1.5590651845153644e-05,0.002262811295749985
2.7016074564365797e-05,0.0037509520141714705
3.118130369030729e-05,0.004308191098540215
4.00427122263748e-05,0.005580833505230876
4.05241118465487e-05,0.0056504521066615436
4.677195553546094e-05,0.006520864571211876
5.4032149128731594e-05,0.00746347364631756
6.673785371062466e-05,0.009180465480274479
6.754018641091449e-05,0.009288889116731244
7.795325922576823e-05,0.010923370294787904
8.00854244527496e-05,0.011259534939663366
0.00010553612350741769,0.014685316948221241
0.00010678056593699947,0.014791843945004554
0.00010806429825746319,0.01490002122750661
0.00012157233553964608,0.01621341711417923
0.0001403158666063828,0.017781848885850535
0.00014682327816337428,0.018310220110351848
0.0001601708489054992,0.019438507664942067
0.0001620964473861948,0.01959935387286558
0.00018686599038974906,0.02166471753937836
0.00021356113187399894,0.023917360299537626
0.00021612859651492638,0.02412202212535302
0.0002494504295224583,0.026763499589636586
0.0002536038441003737,0.027090299433258237
0.00029364655632674856,0.030267665117005137
0.00029717682020802375,0.030568988041641487
0.0003203416978109984,0.03260762990391695
0.0003241928947723896,0.032925358726753014
0.0003737319807794981,0.03695110047146059
0.0003741756442836875,0.03698648829106395
0.00039173308118330407,0.03837475769487779
0.00040524111846548696,0.03951924919644675
0.0004271222637479979,0.04127260210871635
0.0004522976721746472,0.04330252464030336
0.00047278130487640144,0.04498441792484863
0.0004805125467164976,0.045598572206748546
0.0005144915108900703,0.048331798888953316
0.0005339028296849973,0.04998108090258009
0.0005943536404160475,0.05504669942231803
0.0005975500448162533,0.05531461246142109
0.0006080354219609922,0.05584624261315816
0.0006540309663641218,0.057986141339225805
0.0007294340132378766,0.061563370859233524
0.000753829453624412,0.06271425734719784
0.0007608115323011212,0.06299546132567181
0.0008107138959479895,0.06519256830252225
0.0008142018152696209,0.06534726544319011
0.0008374983114953397,0.06629502899135671
0.0008942872397223705,0.06858583480327221
0.0009590706470349858,0.0711937265736945
0.00100106780565937,0.07295445815776089
0.0010131027961637175,0.07348813320930472
0.001013392369934987,0.07350081109076176
0.0010811532301121195,0.07642439272898452
