Class,FPR,TPR
0,0.0,0.0
0,0.019825714630322035,0.5133723099888046
0,0.03226390061512483,0.6377036944893644
0,0.04613436256181402,0.7400174151013807
0,0.0639850440236401,0.8227391466600323
0,0.09021830900976963,0.8883567607911432
0,1.0,1.0
1,0.0,0.0
1,0.024827772524652167,0.21609360076408787
1,0.04684587329461029,0.31781279847182425
1,0.07587464541402135,0.43147086914995225
1,0.11372416587869782,0.5429799426934098
1,0.16559502904228016,0.6572349570200573
1,1.0,1.0
2,0.0,0.0
2,0.026361452215696742,0.23203312850654556
2,0.048037907100907634,0.33970077477958854
2,0.07546716497597437,0.4512423189954582
2,0.11021089161772557,0.5619823670852258
2,0.1607581420181527,0.6631044616617686
2,1.0,1.0
3,0.0,0.0
3,0.021904865842440873,0.2846975088967972
3,0.05723328292355903,0.48584724883657265
3,0.10693628100590885,0.6377771694497674
3,0.17012519293431658,0.7618395839036408
3,0.2518981618621475,0.8601697235149193
3,1.0,1.0
4,0.0,0.0
4,0.009281944029479135,0.6355392689668022
4,0.019818743153072402,0.739635415049222
4,0.03814361119410417,0.8240737865283687
4,0.07196494373070411,0.897021831620136
4,0.14703714769445275,0.9579205614732462
4,1.0,1.0
