Class,FPR,TPR
0,0.0,0.0
0,0.017669762392956218,0.5458390347058092
0,0.02930888915691714,0.6546834183356138
0,0.04498854179230491,0.7487871625824107
0,0.06553793269810639,0.8246050503794005
0,0.09175612109516343,0.8804577683791517
0,1.0,1.0
1,0.0,0.0
1,0.026205592327434822,0.21716809933142311
1,0.04764284749425909,0.323901623686724
1,0.07706335269485344,0.44317096466093603
1,0.1140618668107524,0.5526504297994269
1,0.16163717411860057,0.6627268385864374
1,1.0,1.0
2,0.0,0.0
2,0.026561665776828617,0.23336895538338231
2,0.049199145755472504,0.35172321667111944
2,0.08148691938067272,0.46874165108201976
2,0.11920715429791778,0.5805503606732567
2,0.16898024559530164,0.6763291477424526
2,1.0,1.0
3,0.0,0.0
3,0.017898068318236385,0.2650424308787298
3,0.050279852200620506,0.46329044620859566
3,0.1002946633198734,0.6191075828086504
3,0.16894030339408492,0.7539009033670956
3,0.25085358818852216,0.8540377771694497
3,1.0,1.0
4,0.0,0.0
4,0.008744148989144508,0.62960777615602
4,0.01832486804103177,0.7307537033011398
4,0.03684891943033562,0.8236390174218192
4,0.07086943531520765,0.9013074128132667
4,0.14590180260930186,0.9599701872612652
4,1.0,1.0
