Class,FPR,TPR
0,0.0,0.0
0,0.013915691713906646,0.5408010946635153
0,0.02253950066336992,0.6385122527677571
0,0.03544506090941985,0.727764647344197
0,0.05599445181522132,0.8129742505286727
0,0.08608732360390785,0.8821992785172285
0,1.0,1.0
1,0.0,0.0
1,0.02554369850060786,0.22361509073543456
1,0.04803458057544239,0.3375119388729704
1,0.07894096987707686,0.461676217765043
1,0.11684452249088208,0.5783190066857689
1,0.16285289747399703,0.6900668576886342
1,1.0,1.0
2,0.0,0.0
2,0.025507207688200747,0.23483836494790275
2,0.0498398291510945,0.3503873897942827
2,0.08148691938067272,0.46834090301896875
2,0.11967431927389215,0.5849585893668181
2,0.16882007474639615,0.6771306438685546
2,1.0,1.0
3,0.0,0.0
3,0.02215431627196333,0.3085135505064331
3,0.05174537347406495,0.4782918149466192
3,0.09547715189972093,0.6180673419107583
3,0.1605057607458568,0.7439364905557077
3,0.2461296206794406,0.8561182589652341
3,1.0,1.0
4,0.0,0.0
4,0.01023802410118514,0.648613397099469
4,0.022009759984065333,0.7508773019471445
4,0.04097201473956777,0.8372721344057638
4,0.07248282043621153,0.9027980497500078
4,0.13873120207150683,0.9572684078134219
4,1.0,1.0
