Class,FPR,TPR
0,0.0,0.0
0,0.01387046194668918,0.4685906207239706
0,0.027710770715233386,0.6584152257743501
0,0.045440839464479556,0.7706804328896629
0,0.07033228802315764,0.854086329145416
0,0.11372271137377879,0.9146038064435875
0,1.0,1.0
1,0.0,0.0
1,0.016736458192624613,0.1265520534861509
1,0.03089288126435229,0.21155682903533907
1,0.05597730649736593,0.33930276981852914
1,0.10217479400243144,0.5070439350525311
1,0.19077401053626908,0.7043935052531041
1,1.0,1.0
2,0.0,0.0
2,0.02289108382274426,0.18006946299759552
2,0.049239188467698876,0.308175260486241
2,0.0853310197544047,0.43187282928132514
2,0.1336759209823812,0.5840235105530324
2,0.20694073678590497,0.7276248998129843
2,1.0,1.0
3,0.0,0.0
3,0.009931245225362872,0.1588283602518478
3,0.031025397171855755,0.3329318368464276
3,0.06881713724450819,0.5255406515192992
3,0.1379616781777646,0.7114152751163427
3,0.2670055035001013,0.8705721324938407
3,1.0,1.0
4,0.0,0.0
4,0.010218105766357932,0.6474022545883669
4,0.02882183049497062,0.7891990931958635
4,0.05933671945025396,0.8753144312288438
4,0.105208644557315,0.9308717120586317
4,0.1884473658002191,0.972205832117015
4,1.0,1.0
