Class,FPR,TPR
0,0.0,0.0
0,0.013704619466891811,0.5393705684786665
0,0.02252442407429743,0.6372683169548451
0,0.03561090338921722,0.7273292698096778
0,0.05614521770594621,0.8132852344819007
0,0.08705222530454709,0.8833810175394949
0,1.0,1.0
1,0.0,0.0
1,0.025151965419424556,0.22086914995224452
1,0.047737403755234366,0.33631805157593125
1,0.07871133324327975,0.46072110792741167
1,0.11662839389436715,0.5786771728748806
1,0.16313656625692288,0.6914995224450812
1,1.0,1.0
2,0.0,0.0
2,0.025200213561131873,0.2340368688218007
2,0.049172450613988256,0.34945231098049695
2,0.08039241857981848,0.46874165108201976
2,0.11831286705819541,0.5832220144269302
2,0.1678190069407368,0.6776649746192893
2,1.0,1.0
3,0.0,0.0
3,0.021094151946492883,0.3004653709280044
3,0.050747571755975114,0.4744593484807008
3,0.09500943234436632,0.6182863399945251
3,0.16122293073073385,0.7470572132493841
3,0.25196052446952805,0.8608267177662196
3,1.0,1.0
4,0.0,0.0
4,0.009421372373269595,0.638675817521195
4,0.02153171994821233,0.7499456538616813
4,0.04141021810576636,0.8387006614701407
4,0.07457424559306843,0.9050650600913015
4,0.1445274375062245,0.9599391323250831
4,1.0,1.0
