Class,FPR,TPR
0,0.0,0.0
0,0.009196719334217826,0.37398930215200893
0,0.025916656615607284,0.6059211344694614
0,0.05153178144976481,0.7612887175021769
0,0.0907761428054517,0.8670232615997014
0,0.17253648534555543,0.9440228884189575
0,1.0,1.0
1,0.0,0.0
1,0.0010806429825746318,0.012535816618911174
1,0.008307442928542482,0.06757402101241643
1,0.03458057544238822,0.2148997134670487
1,0.10160745643657977,0.47576408787010505
1,0.24664325273537754,0.76707258834766
1,1.0,1.0
2,0.0,0.0
2,0.0007074212493326215,0.0084157093240716
2,0.0060464495461825946,0.05062783863211328
2,0.027042178323545114,0.1632380443494523
2,0.08858782701548318,0.38979428266096716
2,0.24583555792845702,0.7139994656692492
2,1.0,1.0
3,0.0,0.0
3,0.007951232441028359,0.08759923350670681
3,0.03620149358444676,0.2624692033944703
3,0.09765984315804244,0.4834382699151382
3,0.20665409020751158,0.7114700246372844
3,0.39174630891317563,0.895921160689844
3,1.0,1.0
4,0.0,0.0
4,0.019539886465491485,0.5370330113971615
4,0.0528234239617568,0.7261265178100059
4,0.09975102081465989,0.8421167044501724
4,0.16823025595060254,0.9167417160957734
4,0.29182352355343094,0.9677649762429739
4,1.0,1.0
